[2025-02-23 14:32:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:33:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:33:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:34:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:34:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:35:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:35:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:36:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:36:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:37:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:37:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:38:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:38:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:39:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:39:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:40:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:40:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:41:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:41:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:42:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:42:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
